OPT FUNCTION_NAME FUNCTION_CALL NR_OF_ARGUMENTS
1 funx_OR_logORErr_2_Z funx_OR_logORErr_2_Z(OddsRatio,logOddsRatioStandardError) 2
2 funx_logOR_logORErr_2_Z funx_logOR_logORErr_2_Z(logOddsRatio,logOddsRatioStandardError) 2
3 funx_Eff_Err_2_Z funx_Eff_Err_2_Z(EffectSize,StandardError) 2
4 funx_OR_and_Pvalue_2_Z funx_OR_and_Pvalue_2_Z(OddsRatio,Pvalue) 2
5 funx_logOR_and_Pvalue_2_Z funx_logOR_and_Pvalue_2_Z(logOddsRatio,Pvalue) 2
6 funx_CHR_BP_2_BP funx_CHR_BP_2_BP(Markername) 1
7 funx_CHR_BP_2_CHR funx_CHR_BP_2_CHR(Markername) 1
8 funx_chrCHR_BP_2_CHR funx_chrCHR_BP_2_CHR(Markername) 1
9 funx_chrCHR_2_CHR funx_chrCHR_2_CHR(chrCHR) 1
10 funx_lowCase_2_upperCase funx_lowCase_2_upperCase(Allele) 1
X Does_not_exist_NoMatch NoMatch 0
